Product,Total Revenue,Region
Mouse,83052.06,Illam
Headphones,451682.68,Illam
Laptop,227161.34999999998,Birgunj
Tablet,72181.83,Birgunj
Smartphone,526030.2,Kathmandu
Laptop,6062.7,Birgunj
Laptop,76125.28,Illam
Headphones,71006.61,Birgunj
Mouse,106378.56,Illam
Headphones,56268.42,Kathmandu
Laptop,279849.2,Pokhara
Laptop,414803.8,Pokhara
Mouse,585704.14,Pokhara
Headphones,126088.48000000001,Kathmandu
Headphones,443468.74000000005,Kathmandu
Mouse,2494.8,Birgunj
Tablet,454800.33,Pokhara
Headphones,371478.45,Kathmandu
Tablet,257342.49999999997,Birgunj
Mouse,53717.399999999994,Pokhara
Smartphone,628936.11,Pokhara
Headphones,688499.0700000001,Kathmandu
Headphones,164243.24000000002,Birgunj
Tablet,727273.9500000001,Pokhara
Tablet,533981.76,Pokhara
Smartphone,146982.4,Birgunj
Tablet,206620.48,Kathmandu
Laptop,149125.91999999998,Kathmandu
Laptop,180040.77,Illam
Tablet,470669.13,Birgunj
Mouse,124237.73999999999,Pokhara
Laptop,73021.81,Birgunj
Mouse,120346.13,Illam
Mouse,106027.91,Pokhara
Tablet,110055.65,Kathmandu
Headphones,117419.04,Kathmandu
Mouse,149357.16,Birgunj
Headphones,895875.8400000001,Birgunj
Laptop,365789.7,Illam
Headphones,54544.420000000006,Birgunj
Tablet,40156.5,Illam
Laptop,242615.44999999998,Birgunj
Headphones,306331.2,Pokhara
Mouse,222901.68000000002,Kathmandu
Laptop,148038.77000000002,Birgunj
Laptop,868051.0800000001,Birgunj
Headphones,21761.46,Illam
Smartphone,44489.61,Birgunj
Tablet,35122.59,Illam
Laptop,52623.229999999996,Kathmandu
Mouse,767404.66,Illam
Mouse,46396.5,Birgunj
Smartphone,549469.96,Kathmandu
Smartphone,31680.050000000003,Kathmandu
Laptop,336427.7,Birgunj
Tablet,612845.73,Illam
Mouse,295726.12,Illam
Headphones,279383.18,Illam
Tablet,275020.2,Birgunj
Laptop,213099.59999999998,Kathmandu
Laptop,37111.909999999996,Birgunj
Laptop,527967.74,Birgunj
Laptop,115469.64,Birgunj
Smartphone,19506.96,Birgunj
Mouse,11601.150000000001,Pokhara
Headphones,96726.22,Birgunj
Tablet,290095.26,Kathmandu
Smartphone,16475.82,Pokhara
Tablet,220395.0,Kathmandu
Tablet,609073.08,Illam
Smartphone,758654.8200000001,Pokhara
Laptop,172912.68,Illam
Headphones,42061.2,Kathmandu
Smartphone,442384.88,Kathmandu
Headphones,513899.46,Illam
Smartphone,644204.7,Birgunj
Laptop,84336.2,Kathmandu
Smartphone,280234.49,Birgunj
Mouse,192898.6,Illam
Mouse,190308.75,Illam
Laptop,603178.29,Illam
Mouse,668728.8999999999,Illam
Mouse,377357.2,Birgunj
Mouse,20765.52,Kathmandu
Mouse,131947.19999999998,Illam
Tablet,200373.87000000002,Birgunj
Headphones,95682.08,Pokhara
Mouse,595283.2,Illam
Mouse,104639.72,Kathmandu
Headphones,404898.69999999995,Kathmandu
Tablet,33601.99,Kathmandu
Tablet,26364.29,Kathmandu
Headphones,213232.25,Birgunj
Tablet,448662.80000000005,Birgunj
Mouse,211295.40999999997,Pokhara
Tablet,416215.45,Pokhara
Headphones,558265.51,Pokhara
Smartphone,69433.55,Birgunj
Mouse,206649.13,Pokhara
Mouse,95836.40000000001,Birgunj
Tablet,324621.52999999997,Pokhara
Laptop,27326.0,Illam
Headphones,359391.54000000004,Kathmandu
Smartphone,45536.04,Birgunj
Laptop,844013.88,Pokhara
Smartphone,395279.92,Birgunj
Mouse,145384.19999999998,Birgunj
Headphones,204410.81999999998,Illam
Tablet,284331.32,Birgunj
Mouse,249516.84,Pokhara
Mouse,53205.6,Birgunj
Tablet,591052.1599999999,Illam
Tablet,64070.64,Birgunj
Smartphone,288473.12,Pokhara
Tablet,538095.6,Illam
Mouse,206801.0,Birgunj
Headphones,426382.5,Birgunj
Smartphone,228193.32,Illam
Headphones,501422.51999999996,Pokhara
Mouse,519336.39999999997,Illam
Tablet,143822.6,Pokhara
Smartphone,48862.8,Pokhara
Smartphone,555161.2,Birgunj
Laptop,310540.44,Birgunj
Laptop,298770.0,Pokhara
Tablet,155835.0,Birgunj
Headphones,2707.38,Pokhara
Headphones,176134.42,Kathmandu
Headphones,253736.09,Kathmandu
Mouse,221952.16,Illam
Headphones,246823.06,Kathmandu
Headphones,359335.68,Pokhara
Headphones,486111.28,Illam
Laptop,118783.6,Illam
Tablet,271223.10000000003,Birgunj
Headphones,109288.96,Kathmandu
Headphones,366361.70999999996,Birgunj
Headphones,208339.07,Kathmandu
Laptop,45037.08,Illam
Laptop,98433.2,Pokhara
Smartphone,77690.36,Birgunj
Headphones,578151.0399999999,Illam
Tablet,668322.0,Illam
Smartphone,24642.999999999996,Kathmandu
Tablet,255220.41000000003,Kathmandu
Mouse,333542.88,Kathmandu
Mouse,16583.719999999998,Illam
Headphones,12482.460000000001,Pokhara
Tablet,317360.22000000003,Illam
Laptop,118482.52,Birgunj
Smartphone,661408.02,Kathmandu
Headphones,50455.29,Kathmandu
Laptop,278292.3,Birgunj
Smartphone,74975.04,Kathmandu
Laptop,105105.92,Pokhara
Smartphone,78018.75,Illam
Mouse,90853.07,Pokhara
Smartphone,20156.39,Kathmandu
Laptop,43460.34,Kathmandu
Headphones,910892.84,Birgunj
Mouse,144457.76,Kathmandu
